# docs/ref/wahrheit.tsv — vom Nutzer selbst am Bild gezaehlt, Stand 20.09.2026.
# Das ist die Wahrheit, gegen die die Pruefmodelle gemessen werden. Nur hier eintragen, was
# jemand wirklich abgezaehlt hat -- kein geschaetzter Wert, keine Modellausgabe.
#
# Spalten: kennung <TAB> feld <TAB> wert
# kennung muss zur Kennung in stabilitaet.sh passen ("<Nr> <Thema> K<n>", oder REF).
#
# KORRIGIERT am 20.09.2026: die "Nasen"-Zaehlung lag zuerst auf shaded_of_ten (plastisch
# schattierte Gesichter). Der Nutzer hat klargestellt, dass ihn die FORM der Nase stoert -- Haken,
# Kurve oder aus dem Gesicht ragend statt eines einzelnen senkrechten Strichs. Dafuer gibt es seit
# heute das eigene Feld nose_shape_of_ten. Die Zeilen stehen jetzt dort.
# Was shaded_of_ten (Schattierung) in diesen beiden Bildern wirklich ist, hat niemand gezaehlt --
# deshalb steht dazu hier NICHTS. Eine Zahl, die niemand abgezaehlt hat, gehoert nicht in diese Datei.
7 Berg K1	mouths_of_ten	10
7 Berg K1	nose_shape_of_ten	10
7 Berg K2	mouths_of_ten	1
7 Berg K2	nose_shape_of_ten	0

# BLINDWAHL je Szene (Variante D). Eintragen, was auf docs/ref/paare.html steht: "links" oder
# "rechts". Welche Seite welcher Kandidat war, loest das Werkzeug ueber paare-zuordnung.tsv auf --
# so muss niemand nachschlagen und sich dabei selbst beeinflussen. "K1"/"K2" geht auch.
# "gleich" = kein klarer Sieger; solche Szenen zaehlen nicht in die Quote.
# Blindwahl vom 20.09.2026, vor dem D-Lauf eingetragen:
1 Stadt	besser	rechts
2 Weihnachten	besser	rechts
3 Weihnachten	besser	links
4 Stadt	besser	gleich
5 Berg	besser	rechts
6 Berg	besser	gleich
7 Berg	besser	links

# Heldenzaehlung, eingetragen 2026-09-21
16 Stadt K1	heroes_found	1,1,2+
16 Stadt K1	heroes_kleidung	ja,ja,ja
16 Stadt K2	heroes_found	1,1,1
16 Stadt K2	heroes_kleidung	ja,ja,ja
17 Stadt K1	heroes_found	1,1,1
17 Stadt K1	heroes_kleidung	ja,ja,nein
17 Stadt K2	heroes_found	2+,1,2+
17 Stadt K2	heroes_kleidung	ja,ja,nein
18 Stadt K1	heroes_found	1,2+,1
18 Stadt K1	heroes_kleidung	ja,ja,ja
18 Stadt K2	heroes_found	1,2+,2+
18 Stadt K2	heroes_kleidung	ja,ja,nein
19 Stadt K1	heroes_found	1,1,1
19 Stadt K1	heroes_kleidung	ja,ja,ja
19 Stadt K2	heroes_found	0,2+,1
19 Stadt K2	heroes_kleidung	-,nein,ja
20 Stadt K1	heroes_found	2+,1,2+
20 Stadt K1	heroes_kleidung	ja,ja,ja
20 Stadt K2	heroes_found	0,2+,2+
20 Stadt K2	heroes_kleidung	-,ja,ja
21 Stadt K1	heroes_found	1,1,1
21 Stadt K1	heroes_kleidung	ja,ja,ja
21 Stadt K2	heroes_found	2+,1,2+
21 Stadt K2	heroes_kleidung	ja,ja,ja

# Heldenzaehlung, eingetragen 2026-09-21 (Szenen 22-27, ?helden=neu)
22 Stadt K1	heroes_found	1,1,2+
22 Stadt K1	heroes_kleidung	ja,ja,ja
22 Stadt K2	heroes_found	1,1,1
22 Stadt K2	heroes_kleidung	ja,ja,ja
23 Stadt K1	heroes_found	1,1,1
23 Stadt K1	heroes_kleidung	ja,ja,ja
23 Stadt K2	heroes_found	2+,1,1
23 Stadt K2	heroes_kleidung	ja,ja,ja
24 Stadt K1	heroes_found	1,1,1
24 Stadt K1	heroes_kleidung	ja,ja,ja
24 Stadt K2	heroes_found	1,1,1
24 Stadt K2	heroes_kleidung	ja,ja,ja
25 Stadt K1	heroes_found	2+,1,2+
25 Stadt K1	heroes_kleidung	ja,ja,ja
25 Stadt K2	heroes_found	1,1,2+
25 Stadt K2	heroes_kleidung	ja,ja,ja
26 Stadt K1	heroes_found	2+,2+,1
26 Stadt K1	heroes_kleidung	ja,ja,ja
26 Stadt K2	heroes_found	2+,2+,2+
26 Stadt K2	heroes_kleidung	ja,ja,ja
27 Berg K1	heroes_found	1,1,1
27 Berg K1	heroes_kleidung	ja,ja,ja
27 Berg K2	heroes_found	2+,2+,1
27 Berg K2	heroes_kleidung	ja,ja,ja

# Stilurteil des Nutzers, eingetragen 2026-09-21 (Szenen 22-27; Heldenzeilen stehen schon oben)
22 Stadt K1	stil	nein
22 Stadt K2	stil	nein
23 Stadt K1	stil	ja
23 Stadt K2	stil	nein
24 Stadt K1	stil	ja
24 Stadt K2	stil	nein
25 Stadt K1	stil	ja
25 Stadt K2	stil	ja
26 Stadt K1	stil	ja
26 Stadt K2	stil	nein
27 Berg K1	stil	ja
27 Berg K2	stil	nein
